gene	ncbi_gene_id	ncbi_protein_id	uniprot_id	description
mtm:MYCTH_105072	ncbi-geneid:11508367	ncbi-proteinid:XP_003660292	up:G2Q214	hypothetical protein
mtm:MYCTH_105128	ncbi-geneid:11514351	ncbi-proteinid:XP_003666214	up:G2QLY9	carbohydrate esterase family 3 protein
mtm:MYCTH_105130	ncbi-geneid:11514348	ncbi-proteinid:XP_003666211	up:G2QLY6	hypothetical protein
mtm:MYCTH_105157	ncbi-geneid:11514301	ncbi-proteinid:XP_003666164	up:G2QLT9	hypothetical protein
mtm:MYCTH_105197	ncbi-geneid:11514153	ncbi-proteinid:XP_003666094	up:G2QLL9	zinc finger-like protein
mtm:MYCTH_105286	ncbi-geneid:11513830	ncbi-proteinid:XP_003665927	up:G2QL50	hypothetical protein
mtm:MYCTH_105318	ncbi-geneid:11508624	ncbi-proteinid:XP_003660059	up:G2PZZ0	hypothetical protein
mtm:MYCTH_105405	ncbi-geneid:11511676	ncbi-proteinid:XP_003660208	up:G2Q164	hypothetical protein
mtm:MYCTH_105482	ncbi-geneid:11506234	ncbi-proteinid:XP_003666434	up:G2QMK9	polyketide synthase
mtm:MYCTH_105575	ncbi-geneid:11513264	ncbi-proteinid:XP_003658417	up:G2Q0A9	ammonium transporter
mtm:MYCTH_105600	ncbi-geneid:11513361	ncbi-proteinid:XP_003658466	up:G2Q0S1	hypothetical protein
mtm:MYCTH_105650	ncbi-geneid:11512848	ncbi-proteinid:XP_003658549	up:G2Q1B2	hypothetical protein
mtm:MYCTH_105669	ncbi-geneid:11508446	ncbi-proteinid:XP_003658586	up:G2Q1Q7	hypothetical protein
mtm:MYCTH_105777	ncbi-geneid:11509010	ncbi-proteinid:XP_003658750	up:G2Q342	hypothetical protein
mtm:MYCTH_105786	ncbi-geneid:11508651	ncbi-proteinid:XP_003658764	up:G2Q356	hypothetical protein
mtm:MYCTH_105822	ncbi-geneid:11505371	ncbi-proteinid:XP_003658825	up:G2Q3M4	hypothetical protein
mtm:MYCTH_105847	ncbi-geneid:11511558	ncbi-proteinid:XP_003658868	up:G2Q424	acetyl-CoA C-acetyltransferase
mtm:MYCTH_105869	ncbi-geneid:11513355	ncbi-proteinid:XP_003658902	up:G2Q4G4	hypothetical protein
mtm:MYCTH_105966	ncbi-geneid:11508460	ncbi-proteinid:XP_003659082	up:G2Q5W1	hypothetical protein
mtm:MYCTH_10609	ncbi-geneid:11510996	ncbi-proteinid:XP_003665236	up:G2QK85	histone acetyltransferase SAS2-like protein
mtm:MYCTH_106293	ncbi-geneid:11509155	ncbi-proteinid:XP_003659647	up:G2Q3P9	hypothetical protein
mtm:MYCTH_106343	ncbi-geneid:11512821	ncbi-proteinid:XP_003659727	up:G2Q487	hypothetical protein
mtm:MYCTH_106346	ncbi-geneid:11508842	ncbi-proteinid:XP_003659737	up:G2Q497	hypothetical protein
mtm:MYCTH_106388	ncbi-geneid:11511664	ncbi-proteinid:XP_003659839	up:G2Q556	hypothetical protein
mtm:MYCTH_106442	ncbi-geneid:11513201	ncbi-proteinid:XP_003659948	up:G2Q626	inorganic pyrophosphatase-like protein
mtm:MYCTH_106463	ncbi-geneid:11512993	ncbi-proteinid:XP_003659989	up:G2Q6H2	hypothetical protein
mtm:MYCTH_106502	ncbi-geneid:11512494	ncbi-proteinid:XP_003662441	up:G2Q9A4	hypothetical protein
mtm:MYCTH_106527	ncbi-geneid:11512452	ncbi-proteinid:XP_003662399	up:G2Q910	histidine kinase
mtm:MYCTH_106599	ncbi-geneid:11512324	ncbi-proteinid:XP_003662271	up:G2Q8C3	hypothetical protein
mtm:MYCTH_106609	ncbi-geneid:11512309	ncbi-proteinid:XP_003662256	up:G2Q8A8	hypothetical protein
mtm:MYCTH_106618	ncbi-geneid:11512297	ncbi-proteinid:XP_003662244	up:G2Q842	hypothetical protein
mtm:MYCTH_106768	ncbi-geneid:11510812	ncbi-proteinid:XP_003662007	up:G2QAX0	Nitroreductase-like protein
mtm:MYCTH_106798	ncbi-geneid:11510764	ncbi-proteinid:XP_003661959	up:G2QAL8	hypothetical protein
mtm:MYCTH_106819	ncbi-geneid:11510731	ncbi-proteinid:XP_003661926	up:G2QAD1	glycoside hydrolase family 72 protein
mtm:MYCTH_106827	ncbi-geneid:11510713	ncbi-proteinid:XP_003661908	up:G2QAB3	hypothetical protein
mtm:MYCTH_106950	ncbi-geneid:11510454	ncbi-proteinid:XP_003661649	up:G2Q9E5	hypothetical protein
mtm:MYCTH_107095	ncbi-geneid:11512055	ncbi-proteinid:XP_003661376	up:G2Q7X4	hypothetical protein
mtm:MYCTH_10713	ncbi-geneid:11511448	ncbi-proteinid:XP_003665688	up:G2QJ24	glycosyltransferase family 2 protein
mtm:MYCTH_107134	ncbi-geneid:11511984	ncbi-proteinid:XP_003661305	up:G2Q7K2	hypothetical protein
mtm:MYCTH_107142	ncbi-geneid:11511970	ncbi-proteinid:XP_003661291	up:G2Q7D5	hypothetical protein
mtm:MYCTH_107168	ncbi-geneid:11511926	ncbi-proteinid:XP_003661247	up:G2Q791	hypothetical protein
mtm:MYCTH_107178	ncbi-geneid:11511907	ncbi-proteinid:XP_003661228	up:G2QB45	glycoside hydrolase family 16 protein
mtm:MYCTH_107186	ncbi-geneid:11512526	ncbi-proteinid:XP_003661202	up:G2QB19	hypothetical protein
mtm:MYCTH_107255	ncbi-geneid:11511771	ncbi-proteinid:XP_003661092	up:G2QAF1	hypothetical protein
mtm:MYCTH_107295	ncbi-geneid:11509717	ncbi-proteinid:XP_003663605	up:G2QDP9	fungal transcriptional regulatory-like protein
mtm:MYCTH_107458	ncbi-geneid:11507875	ncbi-proteinid:XP_003663249	up:G2QBR1	hypothetical protein
mtm:MYCTH_107520	ncbi-geneid:11507790	ncbi-proteinid:XP_003663164	up:G2QBH6	hypothetical protein
mtm:MYCTH_107580	ncbi-geneid:11507685	ncbi-proteinid:XP_003663059	up:G2QEN1	ABC transporter-like protein
mtm:MYCTH_107689	ncbi-geneid:11507492	ncbi-proteinid:XP_003662866	up:G2QE38	hypothetical protein
mtm:MYCTH_107723	ncbi-geneid:11507427	ncbi-proteinid:XP_003662801	up:G2QDU7	hypothetical protein
mtm:MYCTH_107763	ncbi-geneid:11507363	ncbi-proteinid:XP_003662737	up:G2QDI0	general substrate transporter-like protein
mtm:MYCTH_107796	ncbi-geneid:11512760	ncbi-proteinid:XP_003662684	up:G2QD73	hypothetical protein
mtm:MYCTH_107866	ncbi-geneid:11509851	ncbi-proteinid:XP_003662567	up:G2QCJ9	glycoside hydrolase family 25 protein
mtm:MYCTH_107891	ncbi-geneid:11512594	ncbi-proteinid:XP_003662518	up:G2QC98	hypothetical protein
mtm:MYCTH_107972	ncbi-geneid:11506118	ncbi-proteinid:XP_003664590	up:G2QG85	hypothetical protein
mtm:MYCTH_107976	ncbi-geneid:11506106	ncbi-proteinid:XP_003664578	up:G2QG73	methyltransferase-like protein
