PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"6446967","Studies of the structure--function relationships of Neurospora crassa pyruvate kinase: interaction with blue dextran--sepharose and Cibacron blue 3G-A","Kapoor M, O'Brien MD.","Can J Microbiol. 1980 May;26(5):613-21. doi: 10.1139/m80-107.","Kapoor M","Can J Microbiol","1980","1980/05/01","","","10.1139/m80-107"
"10491161","The 24-kDa iron-sulphur subunit of complex I is required for enzyme activity","Almeida T, Duarte M, Melo AM, Videira A.","Eur J Biochem. 1999 Oct 1;265(1):86-93. doi: 10.1046/j.1432-1327.1999.00668.x.","Almeida T","Eur J Biochem","1999","1999/09/22","","","10.1046/j.1432-1327.1999.00668.x"
"1397269","De novo synthesis and desaturation of fatty acids at the mitochondrial acyl-carrier protein, a subunit of NADH:ubiquinone oxidoreductase in Neurospora crassa","Zensen R, Husmann H, Schneider R, Peine T, Weiss H.","FEBS Lett. 1992 Sep 28;310(2):179-81. doi: 10.1016/0014-5793(92)81324-f.","Zensen R","FEBS Lett","1992","1992/09/28","","","10.1016/0014-5793(92)81324-f"
"10953880","Characterization of hch, the Podospora anserina homolog of the het-c heterokaryon incompatibility gene of Neurospora crassa","Saupe SJ, Clavé C, Sabourin M, Bégueret J.","Curr Genet. 2000 Jul;38(1):39-47. doi: 10.1007/s002940000130.","Saupe SJ","Curr Genet","2000","2000/08/23","","","10.1007/s002940000130"
"29601947","Imaging the secretory compartments involved in the intracellular traffic of CHS-4, a class IV chitin synthase, in Neurospora crassa","Rico-Ramírez AM, Roberson RW, Riquelme M.","Fungal Genet Biol. 2018 Aug;117:30-42. doi: 10.1016/j.fgb.2018.03.006. Epub 2018 Mar 27.","Rico-Ramírez AM","Fungal Genet Biol","2018","2018/03/31","","","10.1016/j.fgb.2018.03.006"
"20884617","Sequence requirements for ribosome stalling by the arginine attenuator peptide","Spevak CC, Ivanov IP, Sachs MS.","J Biol Chem. 2010 Dec 24;285(52):40933-42. doi: 10.1074/jbc.M110.164152. Epub 2010 Sep 30.","Spevak CC","J Biol Chem","2010","2010/10/02","PMC3003393","","10.1074/jbc.M110.164152"
"15254370","Functional characterization of the conserved ""GLK"" motif in mitochondrial porin from Neurospora crassa","Runke G, Maier E, O'Neil JD, Benz R, Court DA.","J Bioenerg Biomembr. 2000 Dec;32(6):563-70. doi: 10.1023/a:1005618510502.","Runke G","J Bioenerg Biomembr","2000","2004/07/16","","","10.1023/a:1005618510502"
"10379401","Extrachromosomal genetic elements in fungi","Kevei F, Hamari Z, Kucsera J.","Acta Microbiol Immunol Hung. 1999;46(2-3):279-87. doi: 10.1556/AMicr.46.1999.2-3.19.","Kevei F","Acta Microbiol Immunol Hung","1999","1999/06/24","","","10.1556/AMicr.46.1999.2-3.19"
"125267","Microbial transformation of artificial estrogens of the allenolic group","Maugras M, Lorrain M, Lematre J, Granger P.","J Bacteriol. 1975 Jun;122(3):923-30. doi: 10.1128/jb.122.3.923-930.1975.","Maugras M","J Bacteriol","1975","1975/06/01","PMC246143","","10.1128/jb.122.3.923-930.1975"
"15956670","Neurospora strains harboring mitochondrial disease-associated mutations in iron-sulfur subunits of complex I","Duarte M, Schulte U, Ushakova AV, Videira A.","Genetics. 2005 Sep;171(1):91-9. doi: 10.1534/genetics.105.041517. Epub 2005 Jun 14.","Duarte M","Genetics","2005","2005/06/16","PMC1456533","","10.1534/genetics.105.041517"
