Gene,KEGG_definition,KEGG
MYCTH_2303567,Autophagy - other;Autophagy - yeast;Mitophagy - yeast,mtm04136;mtm04138;mtm04139
MYCTH_2303573,MAPK signaling pathway - yeast,mtm04011
MYCTH_2303583,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2303595,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2303597,Protein export;Protein processing in endoplasmic reticulum,mtm03060;mtm04141
MYCTH_2303613,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2303614,Glycerolipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm01100;mtm01110
MYCTH_2303620,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2303639,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2303648,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2303701,Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00330;mtm01100;mtm01110;mtm01230
MYCTH_2303725,Endocytosis;Phagosome,mtm04144;mtm04145
MYCTH_2303752,Glycerolipid metabolism;Metabolic pathways;Autophagy - yeast,mtm00561;mtm01100;mtm04138
MYCTH_2303755,"Fatty acid elongation;Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Tryptophan metabolism;beta-Alanine metabolism;Propanoate metabolism;Butanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism",mtm00062;mtm00071;mtm00280;mtm00310;mtm00380;mtm00410;mtm00640;mtm00650;mtm01100;mtm01110;mtm01200;mtm01212
MYCTH_2303763,MAPK signaling pathway - yeast,mtm04011
MYCTH_2303766,Ribosome,mtm03010
MYCTH_2303799,Thiamine metabolism;Riboflavin metabolism;Metabolic pathways,mtm00730;mtm00740;mtm01100
MYCTH_2303801,MAPK signaling pathway - yeast;Endocytosis,mtm04011;mtm04144
MYCTH_2303804,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2303813,Cysteine and methionine metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00270;mtm00920;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2303821,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2303826,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2303831,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03410;mtm03420;mtm03430
MYCTH_2303832,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00020;mtm00620;mtm01100;mtm01110;mtm01200
MYCTH_2303838,Cell cycle - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04120
MYCTH_2303853,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2303859,RNA polymerase,mtm03020
MYCTH_2303878,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_2303882,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_2303921,Metabolic pathways,mtm01100
MYCTH_2303929,Fatty acid biosynthesis;Biotin metabolism;Metabolic pathways;Fatty acid metabolism;Biosynthesis of cofactors,mtm00061;mtm00780;mtm01100;mtm01212;mtm01240
MYCTH_2303933,One carbon pool by folate;Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00670;mtm00790;mtm01100;mtm01240
MYCTH_2303986,Homologous recombination,mtm03440
MYCTH_2304014,MAPK signaling pathway - yeast,mtm04011
MYCTH_2304036,Glycerophospholipid metabolism;Metabolic pathways,mtm00564;mtm01100
MYCTH_2304045,Nucleotide excision repair;Cell cycle - yeast;Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm03420;mtm04111;mtm04120;mtm04141
MYCTH_2304055,Ribosome,mtm03010
MYCTH_2304075,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2304079,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2304102,"Valine, leucine and isoleucine biosynthesis;C5-Branched dibasic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00660;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2304118,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2304122,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2304133,Glycerolipid metabolism;Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm00565;mtm01100;mtm01110
MYCTH_2304137,Mitophagy - yeast,mtm04139
MYCTH_2304140,Autophagy - yeast;Endocytosis,mtm04138;mtm04144
MYCTH_2304142,Cysteine and methionine metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00270;mtm00480;mtm01100;mtm01240
MYCTH_2304147,"Glycine, serine and threonine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",mtm00260;mtm01100;mtm01110;mtm01240
MYCTH_2304164,"Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",mtm00230;mtm00250;mtm01100;mtm01110;mtm01240
MYCTH_2304176,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00730;mtm01100;mtm01240
MYCTH_2304190,Spliceosome,mtm03040
MYCTH_2304244,"Glycolysis / Gluconeogenesis;Ascorbate and aldarate metabolism;Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Arginine and proline metabolism;Histidine metabolism;Tryptophan metabolism;beta-Alanine metabolism;Glycerolipid metabolism;Pyruvate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",mtm00010;mtm00053;mtm00071;mtm00280;mtm00310;mtm00330;mtm00340;mtm00380;mtm00410;mtm00561;mtm00620;mtm00770;mtm01100;mtm01110;mtm01240
MYCTH_2304273,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
MYCTH_2304281,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2304288,Arachidonic acid metabolism;Metabolic pathways;Peroxisome,mtm00590;mtm01100;mtm04146
MYCTH_2304301,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2304302,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2304323,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2304387,Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00770;mtm01100;mtm01240
MYCTH_2304403,Mitophagy - yeast,mtm04139
MYCTH_2304429,RNA degradation,mtm03018
MYCTH_2304441,Ribosome,mtm03010
MYCTH_2304458,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2304464,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2304495,Spliceosome,mtm03040
MYCTH_2304517,mRNA surveillance pathway,mtm03015
MYCTH_2304523,Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,mtm00062;mtm01040;mtm01100;mtm01110;mtm01212
MYCTH_2304529,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2304539,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,mtm00563
MYCTH_2304549,Thiamine metabolism;Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00730;mtm00790;mtm01100;mtm01240
MYCTH_2304552,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2304561,Tryptophan metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00380;mtm01100;mtm01240
MYCTH_2304566,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Taurine and hypotaurine metabolism;Nitrogen metabolism;Metabolic pathways",mtm00220;mtm00250;mtm00430;mtm00910;mtm01100
MYCTH_2304568,Ribosome,mtm03010
MYCTH_2304570,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2304585,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2304592,RNA degradation,mtm03018
MYCTH_2304594,Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Metabolic pathways,mtm00450;mtm00970;mtm01100
MYCTH_2304598,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_2304601,Non-homologous end-joining,mtm03450
MYCTH_2304605,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_2304613,Autophagy - yeast,mtm04138
MYCTH_2304655,MAPK signaling pathway - yeast,mtm04011
MYCTH_2304659,Endocytosis,mtm04144
MYCTH_2304670,MAPK signaling pathway - yeast,mtm04011
MYCTH_2304681,Basal transcription factors,mtm03022
MYCTH_2304698,MAPK signaling pathway - yeast,mtm04011
MYCTH_2304703,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2304728,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2304760,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2304768,"Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of cofactors",mtm00230;mtm00250;mtm01100;mtm01240
MYCTH_2304786,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors;Sulfur relay system,mtm00790;mtm01100;mtm01240;mtm04122
MYCTH_2304799,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2304829,Ribosome,mtm03010
MYCTH_2304851,Glycerophospholipid metabolism,mtm00564
MYCTH_2304857,Cell cycle - yeast;Autophagy - yeast,mtm04111;mtm04138
MYCTH_2304865,mRNA surveillance pathway,mtm03015
MYCTH_2304880,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2304883,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2304886,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2304889,RNA degradation,mtm03018
MYCTH_2304900,"Alanine, aspartate and glutamate metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism;Propanoate metabolism;Butanoate metabolism;Metabolic pathways",mtm00250;mtm00280;mtm00410;mtm00640;mtm00650;mtm01100
MYCTH_2304904,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_2304921,ABC transporters,mtm02010
MYCTH_2304928,Spliceosome,mtm03040
MYCTH_2304931,Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00010;mtm00051;mtm00562;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2304940,Nucleotide excision repair;Ubiquitin mediated proteolysis,mtm03420;mtm04120
MYCTH_2304944,Fatty acid degradation;Peroxisome,mtm00071;mtm04146
MYCTH_2304947,Nicotinate and nicotinamide metabolism;Metabolic pathways;Peroxisome,mtm00760;mtm01100;mtm04146
MYCTH_2304990,Mitophagy - yeast,mtm04139
MYCTH_2305012,MAPK signaling pathway - yeast,mtm04011
MYCTH_2305025,Autophagy - yeast,mtm04138
MYCTH_2305041,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2305043,Cysteine and methionine metabolism;Selenocompound metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00270;mtm00450;mtm01100;mtm01110;mtm01230
MYCTH_2305051,Autophagy - other,mtm04136
MYCTH_2305054,Peroxisome,mtm04146
MYCTH_2305076,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2305078,Spliceosome,mtm03040
MYCTH_2305086,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2305104,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2305107,MAPK signaling pathway - yeast,mtm04011
MYCTH_2305118,Meiosis - yeast,mtm04113
MYCTH_2305189,Amino sugar and nucleotide sugar metabolism,mtm00520
MYCTH_2305193,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2305205,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2305262,Autophagy - yeast,mtm04138
MYCTH_2305269,Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00330;mtm00332;mtm01100;mtm01110;mtm01230
MYCTH_2305337,SNARE interactions in vesicular transport;Autophagy - yeast,mtm04130;mtm04138
MYCTH_2305350,Phagosome,mtm04145
MYCTH_2305356,Spliceosome,mtm03040
MYCTH_2305406,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2305407,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_2305429,Cell cycle - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04120
MYCTH_2305507,mRNA surveillance pathway,mtm03015
MYCTH_2305512,RNA polymerase,mtm03020
MYCTH_2305515,Endocytosis,mtm04144
MYCTH_2305575,Citrate cycle (TCA cycle);Cysteine and methionine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00270;mtm00620;mtm00630;mtm01100;mtm01110;mtm01200
MYCTH_2305586,Metabolic pathways;Biosynthesis of cofactors,mtm01100;mtm01240
MYCTH_2305591,SNARE interactions in vesicular transport,mtm04130
MYCTH_2305592,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00730;mtm01100;mtm01240
MYCTH_2305611,Histidine metabolism;Metabolic pathways,mtm00340;mtm01100
MYCTH_2305613,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00030;mtm01100;mtm01110;mtm01200
MYCTH_2305614,MAPK signaling pathway - yeast,mtm04011
MYCTH_2305618,Metabolic pathways,mtm01100
MYCTH_2305669,Metabolic pathways,mtm01100
MYCTH_2305680,MAPK signaling pathway - yeast;Cell cycle - yeast;Meiosis - yeast,mtm04011;mtm04111;mtm04113
MYCTH_2305681,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2305684,Endocytosis,mtm04144
MYCTH_2305709,"Glycine, serine and threonine metabolism;Metabolic pathways",mtm00260;mtm01100
MYCTH_2305742,"Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2305783,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2305846,Ether lipid metabolism;Metabolic pathways,mtm00565;mtm01100
MYCTH_2305865,Endocytosis,mtm04144
MYCTH_2305924,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2305937,Autophagy - yeast,mtm04138
MYCTH_2305985,Biosynthesis of cofactors,mtm01240
MYCTH_2306029,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2306035,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2306081,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2306082,Autophagy - yeast,mtm04138
MYCTH_2306123,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2306137,Cell cycle - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04120
MYCTH_2306141,Proteasome,mtm03050
MYCTH_2306158,Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00051;mtm00520;mtm01100;mtm01110;mtm01240
MYCTH_2306173,"Alanine, aspartate and glutamate metabolism;Cyanoamino acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites",mtm00250;mtm00460;mtm01100;mtm01110
MYCTH_2306242,Cell cycle - yeast,mtm04111
MYCTH_2306244,MAPK signaling pathway - yeast;Cell cycle - yeast;Meiosis - yeast,mtm04011;mtm04111;mtm04113
MYCTH_2306255,Mitophagy - yeast,mtm04139
MYCTH_2306283,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2306290,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2306300,Sulfur metabolism;Metabolic pathways,mtm00920;mtm01100
MYCTH_2306309,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2306314,Sulfur metabolism;Metabolic pathways,mtm00920;mtm01100
MYCTH_2306316,Ribosome,mtm03010
MYCTH_2306323,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00760;mtm01100;mtm01240
MYCTH_2306339,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2306344,ABC transporters,mtm02010
MYCTH_2306357,Fatty acid biosynthesis;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism;Peroxisome,mtm00061;mtm00071;mtm01100;mtm01212;mtm04146
MYCTH_2306388,mRNA surveillance pathway,mtm03015
MYCTH_2306407,Endocytosis,mtm04144
MYCTH_2306416,MAPK signaling pathway - yeast,mtm04011
MYCTH_2306426,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2306437,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00220;mtm00250;mtm01100;mtm01200;mtm01210;mtm01230
MYCTH_2306439,Proteasome,mtm03050
MYCTH_2306440,mRNA surveillance pathway,mtm03015
MYCTH_2306475,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm00270;mtm00300;mtm01100;mtm01110;mtm01230
MYCTH_2306485,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_2306496,Basal transcription factors,mtm03022
MYCTH_2306503,"Valine, leucine and isoleucine degradation;Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites",mtm00280;mtm00640;mtm01100;mtm01110
MYCTH_2306539,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2306540,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00740;mtm01100;mtm01110;mtm01240
MYCTH_2306542,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2306581,Nucleotide excision repair,mtm03420
MYCTH_2306594,Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00051;mtm00520;mtm01100;mtm01110;mtm01240
MYCTH_2306596,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_2306608,Glycerolipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm01100;mtm01110
MYCTH_2306639,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2306649,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2306650,Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00770;mtm01100;mtm01110;mtm01240
MYCTH_2306681,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2306712,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2306716,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2306723,Phagosome,mtm04145
MYCTH_2306744,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2306764,Other glycan degradation;Sphingolipid metabolism;Metabolic pathways,mtm00511;mtm00600;mtm01100
MYCTH_2306772,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2306777,Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00051;mtm00052;mtm00500;mtm00520;mtm01100;mtm01110;mtm01200
MYCTH_2306784,Amino sugar and nucleotide sugar metabolism;Glycosaminoglycan degradation;Metabolic pathways;beta-Lactam resistance,mtm00520;mtm00531;mtm01100;mtm01501
MYCTH_2306786,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2306791,RNA degradation,mtm03018
MYCTH_2306799,Nitrogen metabolism;Metabolic pathways,mtm00910;mtm01100
MYCTH_2306813,"Cysteine and methionine metabolism;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors",mtm00270;mtm00280;mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230;mtm01240
MYCTH_2306855,RNA degradation,mtm03018
MYCTH_2306864,Basal transcription factors,mtm03022
MYCTH_2306866,"Glycine, serine and threonine metabolism;Lysine degradation;Metabolic pathways;Peroxisome",mtm00260;mtm00310;mtm01100;mtm04146
MYCTH_2306868,Spliceosome,mtm03040
MYCTH_2306895,mRNA surveillance pathway,mtm03015
MYCTH_2306915,Endocytosis,mtm04144
MYCTH_2306919,Sulfur relay system,mtm04122
MYCTH_2306934,Spliceosome,mtm03040
MYCTH_2306943,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00030;mtm00051;mtm00680;mtm01100;mtm01110;mtm01200
MYCTH_2306949,Peroxisome,mtm04146
MYCTH_2306960,Ribosome,mtm03010
MYCTH_2306966,mRNA surveillance pathway;RNA degradation,mtm03015;mtm03018
MYCTH_2306980,Nucleotide excision repair,mtm03420
MYCTH_2306984,Oxidative phosphorylation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00190;mtm01100;mtm01110;mtm01240
MYCTH_2306993,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",mtm00260;mtm00270;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2306994,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2307037,Endocytosis,mtm04144
MYCTH_2307068,Ribosome biogenesis in eukaryotes;Mitophagy - yeast,mtm03008;mtm04139
MYCTH_2307086,Tyrosine metabolism;Metabolic pathways,mtm00350;mtm01100
MYCTH_2307126,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2307131,Lysine biosynthesis;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00300;mtm00620;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2307146,Tyrosine metabolism;Metabolic pathways,mtm00350;mtm01100
MYCTH_2307165,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2307175,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2307188,"Fatty acid degradation;Valine, leucine and isoleucine degradation;alpha-Linolenic acid metabolism;Biosynthesis of unsaturated fatty acids;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;Peroxisome",mtm00071;mtm00280;mtm00592;mtm01040;mtm01100;mtm01110;mtm01212;mtm04146
MYCTH_2307240,RNA degradation,mtm03018
MYCTH_2307257,ABC transporters,mtm02010
MYCTH_2307289,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2307294,Meiosis - yeast;Autophagy - other;Autophagy - yeast;Mitophagy - yeast,mtm04113;mtm04136;mtm04138;mtm04139
MYCTH_2307312,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2307323,RNA degradation,mtm03018
MYCTH_2307328,Citrate cycle (TCA cycle);Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Peroxisome,mtm00020;mtm00480;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230;mtm04146
MYCTH_2307345,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_2307368,One carbon pool by folate;Metabolic pathways;Biosynthesis of cofactors,mtm00670;mtm01100;mtm01240
MYCTH_2307394,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2307396,Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Endocytosis,mtm00564;mtm00565;mtm01100;mtm01110;mtm04144
MYCTH_2307400,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2307401,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2307409,MAPK signaling pathway - yeast;Ubiquitin mediated proteolysis;Endocytosis,mtm04011;mtm04120;mtm04144
MYCTH_2307416,mRNA surveillance pathway,mtm03015
MYCTH_2307423,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,mtm00510;mtm00513;mtm01100
MYCTH_2307429,Metabolic pathways,mtm01100
MYCTH_2307431,RNA degradation,mtm03018
MYCTH_2307432,Fatty acid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,mtm00061;mtm01100;mtm01110;mtm01212
MYCTH_2307444,MAPK signaling pathway - yeast,mtm04011
MYCTH_2307463,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2307471,Steroid biosynthesis,mtm00100
MYCTH_2307473,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2307483,RNA polymerase,mtm03020
