Gene,KEGG_definition,KEGG
MYCTH_113450,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_113886,Autophagy - yeast;Endocytosis,mtm04138;mtm04144
MYCTH_114008,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00900;mtm01100;mtm01110
MYCTH_114166,Base excision repair,mtm03410
MYCTH_115052,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_115096,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00900;mtm01100;mtm01110
MYCTH_115624,Homologous recombination,mtm03440
MYCTH_115802,MAPK signaling pathway - yeast,mtm04011
MYCTH_115968,Cyanoamino acid metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00460;mtm00500;mtm01100;mtm01110
MYCTH_116006,mRNA surveillance pathway,mtm03015
MYCTH_116020,Ribosome,mtm03010
MYCTH_116157,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_116322,RNA degradation,mtm03018
MYCTH_116363,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_117681,Ribosome,mtm03010
MYCTH_122939,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_140260,Starch and sucrose metabolism;Metabolic pathways;MAPK signaling pathway - yeast,mtm00500;mtm01100;mtm04011
MYCTH_16224,mRNA surveillance pathway,mtm03015
MYCTH_2019108,Base excision repair,mtm03410
MYCTH_2027194,Base excision repair,mtm03410
MYCTH_2029356,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_2029952,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00740;mtm01100;mtm01110;mtm01240
MYCTH_2032939,MAPK signaling pathway - yeast,mtm04011
MYCTH_2033977,Ribosome;Ubiquitin mediated proteolysis,mtm03010;mtm04120
MYCTH_2035701,RNA polymerase,mtm03020
MYCTH_2036258,RNA polymerase,mtm03020
MYCTH_2039818,Ribosome,mtm03010
MYCTH_2046198,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2046354,Metabolic pathways,mtm01100
MYCTH_2048131,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2049934,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2050031,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2050348,Biosynthesis of secondary metabolites;RNA degradation;Spliceosome,mtm01110;mtm03018;mtm03040
MYCTH_2050660,Proteasome,mtm03050
MYCTH_2050929,Nicotinate and nicotinamide metabolism,mtm00760
MYCTH_2050951,Sulfur metabolism;Metabolic pathways,mtm00920;mtm01100
MYCTH_2051026,Spliceosome,mtm03040
MYCTH_2051636,Arginine and proline metabolism;Metabolic pathways,mtm00330;mtm01100
MYCTH_2051705,SNARE interactions in vesicular transport,mtm04130
MYCTH_2053677,Peroxisome,mtm04146
MYCTH_2054145,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2054219,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2054249,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00030;mtm01100;mtm01110;mtm01200
MYCTH_2054491,Endocytosis,mtm04144
MYCTH_2054541,Spliceosome,mtm03040
MYCTH_2054613,Pantothenate and CoA biosynthesis,mtm00770
MYCTH_2055144,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2055659,Proteasome,mtm03050
MYCTH_2057284,Spliceosome,mtm03040
MYCTH_2057433,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2057861,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Ribosome biogenesis in eukaryotes,mtm00230;mtm01100;mtm01110;mtm01240;mtm03008
MYCTH_2057906,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_2057978,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2058064,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00130;mtm01100;mtm01110
MYCTH_2058620,Ribosome,mtm03010
MYCTH_2059227,Ribosome,mtm03010
MYCTH_2059229,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2059579,Cyanoamino acid metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00460;mtm00500;mtm01100;mtm01110
MYCTH_2059795,Spliceosome,mtm03040
MYCTH_2060641,Arginine and proline metabolism;Metabolic pathways,mtm00330;mtm01100
