ncbi-proteinid:XP_003663411,mtm:MYCTH_111377
ncbi-proteinid:XP_003663382,mtm:MYCTH_111388
ncbi-proteinid:XP_003663354,mtm:MYCTH_111405
ncbi-proteinid:XP_003663310,mtm:MYCTH_111425
ncbi-proteinid:XP_003662867,mtm:MYCTH_111604
ncbi-proteinid:XP_003662752,mtm:MYCTH_111645
ncbi-proteinid:XP_003662455,mtm:MYCTH_111741
ncbi-proteinid:XP_003664648,mtm:MYCTH_111770
ncbi-proteinid:XP_003664490,mtm:MYCTH_111814
ncbi-proteinid:XP_003664369,mtm:MYCTH_111845
ncbi-proteinid:XP_003664113,mtm:MYCTH_111934
ncbi-proteinid:XP_003663965,mtm:MYCTH_111987
ncbi-proteinid:XP_003663820,mtm:MYCTH_112014
ncbi-proteinid:XP_003663778,mtm:MYCTH_112025
ncbi-proteinid:XP_003665702,mtm:MYCTH_112050
ncbi-proteinid:XP_003665692,mtm:MYCTH_112051
ncbi-proteinid:XP_003665559,mtm:MYCTH_112080
ncbi-proteinid:XP_003665526,mtm:MYCTH_112086
ncbi-proteinid:XP_003665516,mtm:MYCTH_112089
ncbi-proteinid:XP_003665450,mtm:MYCTH_112121
ncbi-proteinid:XP_003665421,mtm:MYCTH_112136
ncbi-proteinid:XP_003665420,mtm:MYCTH_112137
ncbi-proteinid:XP_003665384,mtm:MYCTH_112159
ncbi-proteinid:XP_003665235,mtm:MYCTH_112204
ncbi-proteinid:XP_003665170,mtm:MYCTH_112227
ncbi-proteinid:XP_003664931,mtm:MYCTH_112306
ncbi-proteinid:XP_003664863,mtm:MYCTH_112322
ncbi-proteinid:XP_003664854,mtm:MYCTH_112329
ncbi-proteinid:XP_003664761,mtm:MYCTH_112362
ncbi-proteinid:XP_003664760,mtm:MYCTH_112363
ncbi-proteinid:XP_003667321,mtm:MYCTH_112399
ncbi-proteinid:XP_003667286,mtm:MYCTH_112411
ncbi-proteinid:XP_003667186,mtm:MYCTH_112442
ncbi-proteinid:XP_003667133,mtm:MYCTH_112471
ncbi-proteinid:XP_003667084,mtm:MYCTH_112491
ncbi-proteinid:XP_003667065,mtm:MYCTH_112498
ncbi-proteinid:XP_003666805,mtm:MYCTH_112612
ncbi-proteinid:XP_003666565,mtm:MYCTH_112686
ncbi-proteinid:XP_003666524,mtm:MYCTH_112699
ncbi-proteinid:XP_003666520,mtm:MYCTH_112700
ncbi-proteinid:XP_003665852,mtm:MYCTH_112714
ncbi-proteinid:XP_003665845,mtm:MYCTH_112716
ncbi-proteinid:XP_003660949,mtm:MYCTH_112802
ncbi-proteinid:XP_003660946,mtm:MYCTH_112805
ncbi-proteinid:XP_003660928,mtm:MYCTH_112815
ncbi-proteinid:XP_003660904,mtm:MYCTH_112824
ncbi-proteinid:XP_003660902,mtm:MYCTH_112826
ncbi-proteinid:XP_003660870,mtm:MYCTH_112850
ncbi-proteinid:XP_003660806,mtm:MYCTH_112889
ncbi-proteinid:XP_003660767,mtm:MYCTH_112905
