Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2297059,GO:0003700,"Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",MF,DNA-binding transcription factor activity
MYCTH_2300067,GO:0008271,"Enables the secondary active transfer of sulfate from one side of a membrane to the other. Secondary active transport is the transfer of a solute across a membrane, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.",MF,secondary active sulfate transmembrane transporter activity
MYCTH_2300067,GO:0008272,"The directed movement of sulfate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,sulfate transport
MYCTH_2294236,GO:0010945,"Catalysis of the reaction: coenzyme A or its derivatives + H2O = 3',5'-ADP + 4'-phosphopantetheine.",MF,CoA pyrophosphatase activity
MYCTH_40928,GO:0000045,"The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.",BP,autophagosome assembly
MYCTH_89872,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2306401,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2304586,GO:0003743,Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide.,MF,translation initiation factor activity
MYCTH_2304529,GO:0000049,Interacting selectively and non-covalently with transfer RNA.,MF,tRNA binding
MYCTH_2304529,GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding
MYCTH_2097686,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2302111,GO:0005484,Acting as a marker to identify a membrane and interacting selectively with one or more SNAREs on another membrane to mediate membrane fusion.,MF,SNAP receptor activity
MYCTH_2302111,GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport
MYCTH_2302111,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2314691,GO:0015031,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,protein transport
MYCTH_2301807,GO:0008080,Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.,MF,N-acetyltransferase activity
MYCTH_2301807,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2310812,GO:0031124,Any process involved in forming the mature 3' end of an mRNA molecule.,BP,mRNA 3'-end processing
MYCTH_2310812,GO:0005849,Any macromolecular complex involved in cleavage or polyadenylation of mRNA molecules.,CC,mRNA cleavage factor complex
MYCTH_2310812,GO:0006396,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,BP,RNA processing
MYCTH_2296388,GO:0004100,Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + [->4)-N-acetyl-beta-D-glucosaminyl-(1-](n) = UDP + [->4)-N-acetyl-beta-D-glucosaminyl-(1-](n+1).,MF,chitin synthase activity
MYCTH_2293977,GO:0001401,A large complex of the mitochondrial outer membrane that mediates sorting of some imported proteins to the outer membrane and their assembly in the membrane; functions after import of incoming proteins by the mitochondrial outer membrane translocase complex.,CC,SAM complex
MYCTH_2301403,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2301403,GO:0003688,"Interacting selectively and non-covalently with the DNA replication origin, a unique DNA sequence of a replicon at which DNA replication is initiated and proceeds bidirectionally or unidirectionally.",MF,DNA replication origin binding
MYCTH_2302632,GO:0008270,Interacting selectively and non-covalently with zinc (Zn) ions.,MF,zinc ion binding
MYCTH_2300156,GO:0008289,Interacting selectively and non-covalently with a lipid.,MF,lipid binding
MYCTH_2304406,GO:0005337,"Enables the transfer of a nucleoside, a nucleobase linked to either beta-D-ribofuranose (ribonucleoside) or 2-deoxy-beta-D-ribofuranose, (a deoxyribonucleotide) from one side of a membrane to the other.",MF,nucleoside transmembrane transporter activity
MYCTH_2114843,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2294640,GO:0005672,"A component of the transcription machinery of RNA Polymerase II. In humans, TFIIA is a heterotrimer composed of an alpha (P35), beta (P19) and gamma subunits (P12).",CC,transcription factor TFIIA complex
MYCTH_2314749,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2295609,GO:0019784,"Catalysis of the hydrolysis of NEDD8, a small ubiquitin-related modifier, from previously neddylated substrates.",MF,NEDD8-specific protease activity
MYCTH_2295609,GO:0006508,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,BP,proteolysis
MYCTH_2294173,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_2296655,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2296655,GO:0006396,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,BP,RNA processing
MYCTH_2296655,GO:0000398,"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",BP,"mRNA splicing, via spliceosome"
MYCTH_39983,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_117625,GO:0048188,"A conserved protein complex that catalyzes methylation of histone H3. In Saccharomyces the complex contains Shg1p, Sdc1p, Swd1p, Swd2p, Swd3p, Spp1p, Bre2p, and the trithorax-related Set1p; in mammals it contains the catalytic subunit (SETD1A or SETD1B), WDR5, WDR82, RBBP5, ASH2L/ASH2, CXXC1/CFP1, HCFC1 and DPY30.",CC,Set1C/COMPASS complex
MYCTH_117625,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
