Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2300528,GO:0003906,"Catalysis of the cleavage of the C-O-P bond in the AP site created when DNA glycosylase removes a damaged base, involved in the DNA base excision repair pathway (BER).",MF,DNA-(apurinic or apyrimidinic site) endonuclease activity
MYCTH_2300528,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2300528,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2301878,GO:0006629,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.",BP,lipid metabolic process
MYCTH_2306976,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2298801,GO:0046872,Interacting selectively and non-covalently with any metal ion.,MF,metal ion binding
MYCTH_2298801,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2298801,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2298801,GO:0006397,Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.,BP,mRNA processing
MYCTH_110931,GO:0051287,"Interacting selectively and non-covalently with nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH.",MF,NAD binding
MYCTH_110931,GO:0016616,Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP.,MF,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
MYCTH_110931,GO:0008863,Catalysis of the reaction: formate + NAD(+) = CO(2) + NADH.,MF,formate dehydrogenase (NAD+) activity
MYCTH_92725,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_52904,GO:0004553,Catalysis of the hydrolysis of any O-glycosyl bond.,MF,"hydrolase activity, hydrolyzing O-glycosyl compounds"
MYCTH_2297376,GO:0006637,"The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group.",BP,acyl-CoA metabolic process
MYCTH_2055700,GO:0008483,"Catalysis of the transfer of an amino group to an acceptor, usually a 2-oxo acid.",MF,transaminase activity
MYCTH_2055700,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2313405,GO:0006457,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.,BP,protein folding
MYCTH_95095,GO:0004553,Catalysis of the hydrolysis of any O-glycosyl bond.,MF,"hydrolase activity, hydrolyzing O-glycosyl compounds"
MYCTH_99838,GO:0009058,The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.,BP,biosynthetic process
MYCTH_2313342,GO:0000276,"All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins.",CC,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
MYCTH_46530,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_46530,GO:0003700,"Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",MF,DNA-binding transcription factor activity
MYCTH_2299039,GO:0003724,Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction drives the unwinding of an RNA helix.,MF,RNA helicase activity
MYCTH_2299039,GO:0016817,Catalysis of the hydrolysis of any acid anhydride.,MF,"hydrolase activity, acting on acid anhydrides"
MYCTH_2307450,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2307450,GO:0016407,Catalysis of the transfer of an acetyl group to an acceptor molecule.,MF,acetyltransferase activity
MYCTH_2297544,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2297544,GO:0002100,The process in which an adenosine in position 34 of a tRNA is post-transcriptionally converted to inosine.,BP,tRNA wobble adenosine to inosine editing
MYCTH_2302383,GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",MF,protein kinase activity
MYCTH_2302383,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_79295,GO:0000166,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",MF,nucleotide binding
MYCTH_2121249,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2301905,GO:0016746,Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).,MF,"transferase activity, transferring acyl groups"
MYCTH_2307398,GO:0005874,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",CC,microtubule
MYCTH_2307398,GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity
MYCTH_2307398,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2307398,GO:0000930,"A multiprotein complex composed of gamma-tubulin and other non-tubulin proteins. Gamma-tubulin complexes are localized to microtubule organizing centers, and play an important role in the nucleation of microtubules. The number and complexity of non-tubulin proteins associated with these complexes varies between species.",CC,gamma-tubulin complex
MYCTH_2309930,GO:0000829,Catalysis of the reaction: ATP + diphospho-1D-myo-inositol-pentakisphosphate = ADP + bis(diphospho)-1D-myo-inositol-tetrakisphosphate. The isomeric configurations of the diphospho-1D-myo-inositol-pentakisphosphate (PP-IP5) and bis(diphospho)-1D-myo-inositol-tetrakisphosphate (bis-PP-IP4) are unknown.,MF,inositol heptakisphosphate kinase activity
MYCTH_2109000,GO:0004497,Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.,MF,monooxygenase activity
MYCTH_2294607,GO:0061630,"Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S -> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.",MF,ubiquitin protein ligase activity
MYCTH_2315477,GO:0001919,"Any process that modulates the frequency, rate, or extent of receptor recycling.",BP,regulation of receptor recycling
MYCTH_2306072,GO:0003712,"A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to either activate or repress the transcription of specific genes. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. A third class modulates interactions of DNA-binding transcription factor with other transcription coregulators.",MF,transcription coregulator activity
MYCTH_2303754,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2303754,GO:0046872,Interacting selectively and non-covalently with any metal ion.,MF,metal ion binding
MYCTH_2127482,GO:0005856,"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.",CC,cytoskeleton
MYCTH_2086155,GO:0051287,"Interacting selectively and non-covalently with nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH.",MF,NAD binding
MYCTH_2086155,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2086155,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_2086155,GO:0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",CC,nucleus
MYCTH_2086155,GO:0050661,"Interacting selectively and non-covalently with nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH.",MF,NADP binding
MYCTH_113450,GO:0004553,Catalysis of the hydrolysis of any O-glycosyl bond.,MF,"hydrolase activity, hydrolyzing O-glycosyl compounds"
MYCTH_113450,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2299837,GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",MF,hydrolase activity
MYCTH_2310483,GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",MF,hydrolase activity
MYCTH_2307317,GO:0007165,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.",BP,signal transduction
MYCTH_2307317,GO:0043087,Any process that modulates the rate of GTP hydrolysis by a GTPase.,BP,regulation of GTPase activity
MYCTH_50083,GO:0016628,Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces NAD or NADP.,MF,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"
MYCTH_50083,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2030361,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2297007,GO:0042254,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis.",BP,ribosome biogenesis
MYCTH_2300643,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2300643,GO:0004802,Catalysis of the reversible transfer of a 2-carbon ketol group (CH2OH-CO-) from a ketose phosphate donor to an aldose phosphate acceptor.,MF,transketolase activity
MYCTH_109876,GO:0006406,The directed movement of mRNA from the nucleus to the cytoplasm.,BP,mRNA export from nucleus
MYCTH_2315623,GO:0004612,Catalysis of the reaction: ATP + oxaloacetate = ADP + CO(2) + H(+) + phosphoenolpyruvate.,MF,phosphoenolpyruvate carboxykinase (ATP) activity
MYCTH_2315623,GO:0004611,Catalysis of the reaction: source of phosphate + oxaloacetate = phosphoenolpyruvate + CO2 + other reaction products.,MF,phosphoenolpyruvate carboxykinase activity
MYCTH_2308197,GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",CC,cytoplasm
MYCTH_108504,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_108504,GO:0003682,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",MF,chromatin binding
MYCTH_108504,GO:0006338,Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation.,BP,chromatin remodeling
MYCTH_2305695,GO:0008271,"Enables the secondary active transfer of sulfate from one side of a membrane to the other. Secondary active transport is the transfer of a solute across a membrane, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.",MF,secondary active sulfate transmembrane transporter activity
MYCTH_2305695,GO:0008272,"The directed movement of sulfate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,sulfate transport
MYCTH_2307049,GO:0005509,Interacting selectively and non-covalently with calcium ions (Ca2+).,MF,calcium ion binding
MYCTH_2296056,GO:0019346,"The interconversion of homocysteine and cysteine via cystathionine. In contrast with enteric bacteria and mammals, Saccharomyces cerevisiae has two transsulfuration pathways employing two separate sets of enzymes.",BP,transsulfuration
MYCTH_2296056,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2302393,GO:0006862,"The directed movement of a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate, into, out of or within a cell.",BP,nucleotide transport
MYCTH_2310254,GO:0005639,The component of the nuclear inner membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of nuclear inner membrane
MYCTH_2134157,GO:0004812,"Catalysis of the formation of aminoacyl-tRNA from ATP, amino acid, and tRNA with the release of diphosphate and AMP.",MF,aminoacyl-tRNA ligase activity
MYCTH_2134157,GO:0000049,Interacting selectively and non-covalently with transfer RNA.,MF,tRNA binding
MYCTH_2299680,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2299680,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_117406,GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",MF,hydrolase activity
MYCTH_2303360,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2308595,GO:0005525,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",MF,GTP binding
MYCTH_2308595,GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity
MYCTH_2298141,GO:0005743,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.",CC,mitochondrial inner membrane
MYCTH_2297253,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_47428,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2296219,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2315077,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2068755,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2068755,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_52576,GO:0006281,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.",BP,DNA repair
MYCTH_2061987,GO:0004497,Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.,MF,monooxygenase activity
MYCTH_105405,GO:0006412,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",BP,translation
MYCTH_105405,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2088290,GO:0031072,"Interacting selectively and non-covalently with a heat shock protein, any protein synthesized or activated in response to heat shock.",MF,heat shock protein binding
MYCTH_2088290,GO:0006457,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.,BP,protein folding
MYCTH_2088290,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2299854,GO:0016021,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of membrane
MYCTH_2306161,GO:0004190,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile.",MF,aspartic-type endopeptidase activity
MYCTH_2307148,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2307148,GO:0005956,"A protein complex that possesses protein serine/threonine kinase activity, and contains two catalytic alpha subunits and two regulatory beta subunits. Protein kinase CK2 complexes are found in nearly every subcellular compartment, and can phosphorylate many protein substrates in addition to casein.",CC,protein kinase CK2 complex
MYCTH_2304336,GO:0003839,Catalysis of the reaction: (5-L-glutamyl)-L-amino acid = 5-oxoproline + L-amino acid.,MF,gamma-glutamylcyclotransferase activity
MYCTH_2307590,GO:0022857,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",MF,transmembrane transporter activity
MYCTH_2307957,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2307957,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2306255,GO:0033615,"The aggregation, arrangement and bonding together of a proton-transporting ATP synthase in the mitochondrial inner membrane.",BP,mitochondrial proton-transporting ATP synthase complex assembly
MYCTH_2302653,GO:0006364,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.,BP,rRNA processing
MYCTH_2062826,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
MYCTH_2062826,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2062826,GO:0000339,Interacting selectively and non-covalently with a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule.,MF,RNA cap binding
MYCTH_2312382,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2312382,GO:0016226,The incorporation of iron and exogenous sulfur into a metallo-sulfur cluster.,BP,iron-sulfur cluster assembly
MYCTH_2302739,GO:0004152,Catalysis of the reaction: (S)-dihydroorotate + A = AH(2) + orotate.,MF,dihydroorotate dehydrogenase activity
MYCTH_2302739,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2302739,GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",CC,cytoplasm
MYCTH_2294189,GO:0004767,Catalysis of the reaction: H(2)O + sphingomyelin = ceramide + choline phosphate + H(+).,MF,sphingomyelin phosphodiesterase activity
MYCTH_2294189,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2304032,GO:0003697,Interacting selectively and non-covalently with single-stranded DNA.,MF,single-stranded DNA binding
MYCTH_2305224,GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",MF,protein kinase activity
MYCTH_2305224,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2297226,GO:0031965,Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space.,CC,nuclear membrane
MYCTH_2297226,GO:0005635,"The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space).",CC,nuclear envelope
MYCTH_94999,GO:0008430,Interacting selectively and non-covalently with selenium (Se).,MF,selenium binding
MYCTH_94999,GO:0005515,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF,protein binding
MYCTH_2295918,GO:0055085,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.",BP,transmembrane transport
MYCTH_2297883,GO:0006744,"The chemical reactions and pathways resulting in the formation of ubiquinone, a lipid-soluble electron-transporting coenzyme.",BP,ubiquinone biosynthetic process
MYCTH_2297883,GO:0005743,"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.",CC,mitochondrial inner membrane
MYCTH_2296005,GO:0003756,Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.,MF,protein disulfide isomerase activity
MYCTH_2302065,GO:0004843,Catalysis of the thiol-dependent hydrolysis of a peptide bond formed by the C-terminal glycine of ubiquitin and another protein.,MF,thiol-dependent ubiquitin-specific protease activity
MYCTH_2294448,GO:0005524,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF,ATP binding
MYCTH_2294065,GO:0000160,A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.,BP,phosphorelay signal transduction system
MYCTH_2294065,GO:0000155,"Catalysis of the phosphorylation of a histidine residue in response to detection of an extracellular signal such as a chemical ligand or change in environment, to initiate a change in cell state or activity. The two-component sensor is a histidine kinase that autophosphorylates a histidine residue in its active site. The phosphate is then transferred to an aspartate residue in a downstream response regulator, to trigger a response.",MF,phosphorelay sensor kinase activity
MYCTH_2294065,GO:0016310,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide.",BP,phosphorylation
MYCTH_2303067,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2303067,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_83019,GO:0046373,"The chemical reactions and pathways involving L-arabinose, the D-enantiomer of arabino-pentose. L-arabinose occurs free, e.g. in the heartwood of many conifers, and in the combined state, in both furanose and pyranose forms, as a constituent of various plant hemicelluloses, bacterial polysaccharides etc.",BP,L-arabinose metabolic process
MYCTH_2296694,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2296694,GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding
