Sample Number	Sample ID	Run	Series ID	Study Title	Species	Strain	Model	Library Strategy	Sample Name	Carbon Sources	Temperature
F01002004	GSM5556630,GSM5556631	SRR15712865,SRR15712866	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_t2_R1,MJK20.3_Parental_t2_R2	Cellulose 	45°
F01002005	GSM5556632,GSM5556633	SRR15712867,SRR15712868	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_t3_R1,MJK20.3_Parental_t3_R2	Cellulose 	45°
F01002006	GSM5556634,GSM5556635	SRR15712820,SRR15712821	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	MJK20.3	NextSeq 500	RNA-Seq	MJK20.3_Parental_t4_R1,MJK20.3_Parental_t4_R2	Cellulose 	45°
F01002007	GSM5556636,GSM5556637	SRR15712822,SRR15712823	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_ex_R1,BS6.4_Clr2_ex_R2	Glucose	45°
F01002008	GSM5556638,GSM5556639	SRR15712824,SRR15712825	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_SS_R1,BS6.4_Clr2_SS_R2	Glucose	45°
F01002009	GSM5556640,GSM5556641	SRR15712826,SRR15712827	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_t1_R1,BS6.4_Clr2_t1_R2	Cellulose 	45°
F01002010	GSM5556642,GSM5556643	SRR15712828,SRR15712829	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_t2_R1,BS6.4_Clr2_t2_R2	Cellulose 	45°
F01002011	GSM5556644,GSM5556645	SRR15712830,SRR15712831	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_t3_R1,BS6.4_Clr2_t3_R2	Cellulose 	45°
F01002012	GSM5556646,GSM5556647	SRR15712832,SRR15712833	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS6.4	NextSeq 500	RNA-Seq	BS6.4_Clr2_t4_R1,BS6.4_Clr2_t4_R2	Cellulose 	45°
F01002013	GSM5556648,GSM5556649	SRR15712834,SRR15712835	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_ex_R1,BS7.8_Clr1_ex_R2	Glucose	45°
