Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt005001	GSM3048706,GSM3048707	 SRX3809735, SRX3809736	SRR6854517,SRR6854518	GSE111986	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	Mtclr-4_4h_1,Mtclr-4_4h_2	Mtclr	NoCarbon	45°	4h	2019 Feb
mt005002	GSM3048708,GSM3048709	 SRX3809737, SRX3809738	SRR6854519,SRR6854520	GSE111986	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	MtWT_4h_1,MtWT_4h_2	wt	NoCarbon	45°	4h	2019 Feb
mt006001	GSM3131641,GSM3131642	 SRX4042664, SRX4042665	SRR7121115,SRR7121116	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Avi_WT-1,Avi_WT-2	wt	Avicel	45°		2020 Sep
mt006002	GSM3131643,GSM3131644	 SRX4042666, SRX4042667	SRR7121117,SRR7121118	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Avi_JG141-1,Avi_JG141-2	JG141	Avicel	45°		2020 Sep
mt006003	GSM3131645,GSM3131646,GSM3131647	 SRX4042668, SRX4042669, SRX4042670	SRR7121119,SRR7121120,SRR7121121	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Avi_JG207-1,Avi_JG207-2,Avi_JG207-3	JG207	Avicel	45°		2020 Sep
mt006004	GSM3131648,GSM3131649	 SRX4042671, SRX4042672	SRR7121122,SRR7121123	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Avi_JG207Ncclr2-1,Avi_JG207Ncclr2-2	JG207Ncclr2	Avicel	45°		2020 Sep
mt006005	GSM3131650,GSM3131651	 SRX4042673, SRX4042674	SRR7121124,SRR7121125	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Avi_JG336-1,Avi_JG336-2	JG336	Avicel	45°		2020 Sep
mt006006	GSM3131652,GSM3131653	 SRX4042675, SRX4042676	SRR7121126,SRR7121127	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Glu_WT-1,Glu_WT-2	wt	Glucose	45°		2020 Sep
mt006007	GSM3131654,GSM3131655	 SRX4042677, SRX4042678	SRR7121128,SRR7121129	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	Glu_JG207-1,Glu_JG207-2	JG207	Glucose	45°		2020 Sep
mt007001	GSM5035228,GSM5035229	 SRX9938239, SRX9938240	SRR13529925,SRR13529926	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	WT-NoC-1,WT-NoC-2	wt	NoCarbon	45°		2021
